date,No Giubiasco mensili 2020-24,NO2 Giubiasco mensili 2020-24,NOx Giubiasco mensili 2020-24,PM 10 Giubiasco mensili 2020-24,Pm 2.5 Giubiasco mensili 2020-24,station_id
2020-01-15,29.0,38.0,43.0,23.0,14.0,Giubiasco
2020-02-15,13.0,27.0,25.0,20.0,13.0,Giubiasco
2020-03-15,5.0,17.0,12.0,16.0,10.0,Giubiasco
2020-04-15,3.0,13.0,9.0,17.0,10.0,Giubiasco
2020-05-15,2.0,10.0,7.0,13.0,6.0,Giubiasco
2020-06-15,3.0,9.0,7.0,10.0,4.0,Giubiasco
2020-07-15,2.0,11.0,8.0,14.0,7.0,Giubiasco
2020-08-15,2.0,11.0,8.0,11.0,6.0,Giubiasco
2020-09-15,5.0,16.0,12.0,16.0,8.0,Giubiasco
2020-10-15,9.0,19.0,17.0,11.0,6.0,Giubiasco
2020-11-15,19.0,27.0,29.0,21.0,13.0,Giubiasco
2020-12-15,21.0,29.0,32.0,14.0,11.0,Giubiasco
2021-01-15,13.0,28.0,25.0,15.0,11.0,Giubiasco
2021-02-15,10.0,25.0,21.0,30.0,14.0,Giubiasco
2021-03-15,6.0,20.0,15.0,21.0,10.0,Giubiasco
2021-04-15,3.0,16.0,11.0,17.0,9.0,Giubiasco
2021-05-15,3.0,11.0,8.0,9.0,3.0,Giubiasco
2021-06-15,2.0,12.0,8.0,17.0,8.0,Giubiasco
2021-07-15,2.0,10.0,7.0,12.0,6.0,Giubiasco
2021-08-15,3.0,10.0,7.0,11.0,5.0,Giubiasco
2021-09-15,4.0,15.0,11.0,15.0,8.0,Giubiasco
2021-10-15,8.0,20.0,17.0,14.0,8.0,Giubiasco
2021-11-15,15.0,21.0,23.0,12.0,8.0,Giubiasco
2021-12-15,30.0,31.0,40.0,19.0,14.0,Giubiasco
2022-01-15,20.0,29.0,31.0,20.0,14.0,Giubiasco
2022-02-15,12.0,25.0,22.0,15.0,9.0,Giubiasco
2022-03-15,6.0,26.0,19.0,36.0,24.0,Giubiasco
2022-04-15,4.0,17.0,12.0,16.0,8.0,Giubiasco
2022-05-15,4.0,11.0,9.0,15.0,7.0,Giubiasco
2022-06-15,5.0,10.0,9.0,15.0,7.0,Giubiasco
2022-07-15,5.0,11.0,10.0,17.0,9.0,Giubiasco
2022-08-15,5.0,10.0,9.0,12.0,6.0,Giubiasco
2022-09-15,5.0,11.0,10.0,10.0,5.0,Giubiasco
2022-10-15,9.0,16.0,16.0,18.0,9.0,Giubiasco
2022-11-15,14.0,21.0,22.0,14.0,9.0,Giubiasco
2022-12-15,19.0,28.0,30.0,16.0,13.0,Giubiasco
2023-01-15,14.0,24.0,24.0,16.0,11.0,Giubiasco
2023-02-15,14.0,28.0,26.0,28.0,18.0,Giubiasco
2023-03-15,6.0,19.0,15.0,19.0,11.0,Giubiasco
2023-04-15,4.0,14.0,10.0,11.0,5.0,Giubiasco
2023-05-15,3.0,9.0,8.0,10.0,5.0,Giubiasco
2023-06-15,3.0,9.0,7.0,15.0,8.0,Giubiasco
2023-07-15,3.0,9.0,8.0,15.0,7.0,Giubiasco
2023-08-15,3.0,8.0,6.0,14.0,7.0,Giubiasco
2023-09-15,4.0,12.0,10.0,14.0,7.0,Giubiasco
2023-10-15,6.0,14.0,12.0,19.0,9.0,Giubiasco
2023-11-15,11.0,19.0,19.0,10.0,5.0,Giubiasco
2023-12-15,14.0,24.0,24.0,12.0,9.0,Giubiasco
2024-01-15,15.0,28.0,27.0,16.0,11.0,Giubiasco
2024-02-15,13.0,25.0,24.0,17.0,9.0,Giubiasco
2024-03-15,5.0,17.0,13.0,18.0,7.0,Giubiasco
2024-04-15,4.0,12.0,10.0,17.0,5.0,Giubiasco
2024-05-15,4.0,10.0,8.0,10.0,4.0,Giubiasco
2024-06-15,3.0,9.0,7.0,17.0,7.0,Giubiasco
2024-07-15,3.0,9.0,7.0,21.0,9.0,Giubiasco
2024-08-15,3.0,12.0,9.0,20.0,10.0,Giubiasco
2024-09-15,4.0,12.0,10.0,15.0,5.0,Giubiasco
2024-10-15,7.0,15.0,13.0,13.0,6.0,Giubiasco
2024-11-15,16.0,24.0,25.0,18.0,11.0,Giubiasco
2024-12-15,17.0,27.0,27.0,16.0,11.0,Giubiasco
