Age,M,F
0-4,9748448,9306201
5-9,10310872,9780673
10-14,10528042,9897482
15-19,10483750,9763696
20-24,10088804,9362597
25-29,10075160,9400244
30-34,10656031,10072180
35-39,11657781,11203891
40-44,11406863,11248476
45-49,10077468,10137765
50-54,8747016,8929152
55-59,6636372,6960623
60-64,5120390,5583003
65-69,4403680,5018763
70-74,3832362,4772426
75-79,2972454,4237730
80-84,1834618,3063860
85-89,864116,1857225
90-94,285941,827810
95-99,56897,229388
100+,6273,37596
