date,precipitazioni,temperatura,vento
2020-02,8.53,6.72,1.59
2020-03,87.51,7.88,1.5
2020-04,71.29,12.92,1.44
2020-05,174.87,16.98,1.6
2020-06,247.13,19.08,1.59
2020-07,42.53,22.54,1.67
2020-08,248.8,22.36,1.61
2020-09,105.34,17.98,1.26
2020-10,331.66,11.19,1.2
2020-11,3.86,7.94,0.95
2020-12,153.27,3.41,1.03
2021-01,143.56,1.95,1.14
2021-02,69.57,6.06,1.11
2021-03,13.37,8.12,1.71
2021-04,77.7,10.25,1.87
2021-05,168.89,14.32,1.79
2021-06,68.16,21.26,1.57
2021-07,372.42,21.16,1.56
2021-08,155.4,20.79,1.46
2021-09,162.48,18.23,1.17
2021-10,133.14,11.41,1.06
2021-11,147.82,7.12,0.97
2021-12,20.92,3.59,1.03
2022-01,9.4,4.09,1.53
2022-02,19.06,5.98,1.69
2022-03,8.2,7.39,1.24
2022-04,79.57,11.5,1.71
2022-05,92.36,18.01,1.53
2022-06,152.91,21.68,1.54
2022-07,90.07,24.59,1.67
2022-08,94.26,23.22,1.54
2022-09,187.1,17.05,1.41
2022-10,186.79,14.89,0.87
2022-11,69.77,8.24,1.06
2022-12,86.63,3.8,0.93
2023-01,25.19,4.04,1.24
2023-02,1.43,5.92,1.34
2023-03,65.1,9.26,1.53
2023-04,115.67,11.48,1.8
2023-05,183.34,15.88,1.41
2023-06,143.96,20.92,1.56
2023-07,141.33,22.65,1.5
2023-08,218.54,22.44,1.79
2023-09,209.41,18.94,1.24
2023-10,256.31,14.94,1.06
2023-11,89.24,7.06,1.34
2023-12,91.17,5.62,1.24
2024-01,48.3,3.89,1.19
2024-02,191.37,7.48,1.03
2024-03,301.97,9.06,1.37
2024-04,107.59,11.94,1.84
2024-05,312.01,14.75,1.29
2024-06,161.09,19.25,1.41
2024-07,171.91,23.42,1.35
2024-08,60.19,24.06,1.4
2024-09,229.27,16.96,1.59
2024-10,281.39,13.48,0.87
2024-11,22.57,6.76,0.9
2024-12,16.31,3.89,1.2
