date,10_percentile_5p_y,90_percentile_5p_y,mediana_5p_y,media
07.01.2020 00:00:00,11515.0,13219.0,13068.0,12620.0
14.01.2020 00:00:00,14409.0,15767.0,15291.0,17584.0
21.01.2020 00:00:00,15327.0,16519.0,16299.0,17181.0
28.01.2020 00:00:00,15659.0,16384.0,16041.0,16971.0
04.02.2020 00:00:00,15368.0,16542.0,15894.0,16634.0
11.02.2020 00:00:00,15628.0,16659.0,16025.0,16782.0
18.02.2020 00:00:00,15156.0,17156.0,16184.0,16754.0
25.02.2020 00:00:00,15522.0,17069.0,16575.0,16359.0
03.03.2020 00:00:00,15730.0,17153.0,16445.0,15316.0
10.03.2020 00:00:00,15563.0,17624.0,16529.0,16177.0
17.03.2020 00:00:00,16651.0,17456.0,17365.0,12435.0
24.03.2020 00:00:00,15727.0,17892.0,16921.0,6724.0
31.03.2020 00:00:00,17046.0,18950.0,17696.0,6248.0
07.04.2020 00:00:00,16537.0,17982.0,17529.0,6704.0
14.04.2020 00:00:00,17401.0,18911.0,18290.0,6747.0
21.04.2020 00:00:00,17622.0,18285.0,17915.0,8292.0
28.04.2020 00:00:00,17169.0,18710.0,18039.0,10298.0
05.05.2020 00:00:00,16716.0,18635.0,17529.0,11471.0
12.05.2020 00:00:00,16723.0,18953.0,18141.0,13510.0
19.05.2020 00:00:00,17613.0,18435.0,18100.0,14580.0
26.05.2020 00:00:00,17523.0,19115.0,18433.0,14724.0
02.06.2020 00:00:00,17257.0,19902.0,18038.0,15553.0
09.06.2020 00:00:00,18016.0,18832.0,18790.0,15840.0
16.06.2020 00:00:00,17644.0,18662.0,17953.0,15628.0
23.06.2020 00:00:00,17853.0,19091.0,18430.0,18551.0
30.06.2020 00:00:00,16767.0,18695.0,17356.0,16893.0
07.07.2020 00:00:00,17503.0,18763.0,18137.0,18010.0
14.07.2020 00:00:00,19025.0,19732.0,19139.0,18311.0
21.07.2020 00:00:00,19324.0,20308.0,20103.0,18434.0
28.07.2020 00:00:00,18456.0,19989.0,19590.0,17750.0
04.08.2020 00:00:00,16342.0,19271.0,17636.0,17478.0
11.08.2020 00:00:00,15553.0,17920.0,16970.0,16231.0
18.08.2020 00:00:00,15365.0,17563.0,16986.0,15395.0
25.08.2020 00:00:00,18219.0,19315.0,18553.0,17713.0
