county,population
"Adams",16428
"Asotin",20551
"Benton",142475
"Chelan",66616
"Clallam",64525
"Clark",345238
"Columbia",4064
"Cowlitz",92948
"Douglas",32603
"Ferry",7260
"Franklin",49347
"Garfield",2397
"Grant",74698
"Grays Harbor",67194
"Island",71558
"Jefferson",25953
"King",1737034
"Kitsap",231969
"Kittitas",33362
"Klickitat",19161
"Lewis",68600
"Lincoln",10184
"Mason",49405
"Okanogan",39564
"Pacific",20984
"Pend Oreille",11732
"Pierce",700820
"San Juan",14077
"Skagit",102979
"Skamania",9872
"Snohomish",606024
"Spokane",417939
"Stevens",40066
"Thurston",207355
"Wahkiakum",3824
"Walla Walla",55180
"Whatcom",166814
"Whitman",40740
"Yakima",222581
