date,media O3,media PM10,media NO2
2020-01-07,50.0,21.0,38.0
2020-01-14,46.0,25.0,45.0
2020-01-21,54.0,24.0,41.0
2020-01-28,46.0,35.0,48.0
2020-02-04,55.0,18.0,34.0
2020-02-11,76.0,25.0,34.0
2020-02-18,72.0,21.0,31.0
2020-02-25,82.0,27.0,35.0
2020-03-03,75.0,20.0,26.0
2020-03-10,87.0,9.0,23.0
2020-03-17,81.0,14.0,22.0
2020-03-24,104.0,21.0,17.0
2020-03-31,91.0,27.0,13.0
2020-04-07,109.0,21.0,16.0
2020-04-14,132.0,19.0,14.0
2020-04-21,115.0,19.0,12.0
2020-04-28,114.0,16.0,12.0
2020-05-05,94.0,7.0,11.0
2020-05-12,124.0,14.0,13.0
2020-05-19,90.0,11.0,10.0
2020-05-26,121.0,14.0,11.0
2020-06-02,128.0,12.0,11.0
2020-06-09,93.0,9.0,12.0
2020-06-16,90.0,7.0,10.0
2020-06-23,94.0,7.0,12.0
2020-06-30,144.0,16.0,13.0
2020-07-07,135.0,13.0,13.0
2020-07-14,145.0,15.0,13.0
2020-07-21,130.0,12.0,14.0
2020-07-28,126.0,13.0,16.0
2020-08-04,150.0,17.0,15.0
2020-08-11,156.0,12.0,16.0
2020-08-18,128.0,13.0,14.0
2020-08-25,123.0,13.0,16.0
2020-09-01,107.0,11.0,17.0
2020-09-08,112.0,10.0,17.0
2020-09-15,126.0,18.0,19.0
2020-09-22,125.0,25.0,21.0
2020-09-29,79.0,7.0,16.0
2020-10-06,77.0,9.0,19.0
2020-10-13,68.0,8.0,17.0
2020-10-20,62.0,12.0,24.0
2020-10-27,39.0,14.0,25.0
2020-11-03,56.0,16.0,24.0
2020-11-10,41.0,25.0,25.0
2020-11-17,47.0,31.0,28.0
2020-11-24,62.0,18.0,28.0
2020-12-01,39.0,34.0,39.0
2020-12-08,27.0,19.0,37.0
2020-12-15,35.0,16.0,32.0
2020-12-22,20.0,22.0,34.0
2020-12-29,42.0,14.0,22.0
2021-01-07,41.0,17.0,27.0
2021-01-14,63.0,20.0,34.0
2021-01-21,57.0,32.0,37.0
2021-01-28,62.0,14.0,29.0
2021-02-04,47.0,23.0,31.0
2021-02-11,44.0,16.0,28.0
2021-02-18,75.0,19.0,27.0
2021-02-25,64.0,50.0,33.0
2021-03-04,81.0,47.0,31.0
2021-03-11,84.0,28.0,27.0
2021-03-18,93.0,13.0,17.0
2021-03-25,96.0,13.0,19.0
2021-04-01,121.0,27.0,26.0
2021-04-08,113.0,19.0,14.0
2021-04-15,95.0,13.0,18.0
2021-04-22,112.0,14.0,19.0
2021-04-29,125.0,25.0,21.0
2021-05-06,91.0,10.0,17.0
2021-05-13,99.0,10.0,15.0
2021-05-20,99.0,6.0,11.0
2021-05-27,102.0,7.0,13.0
2021-06-03,139.0,13.0,15.0
2021-06-10,117.0,11.0,12.0
2021-06-17,154.0,17.0,14.0
2021-06-24,134.0,24.0,14.0
2021-07-01,135.0,12.0,12.0
2021-07-08,115.0,10.0,14.0
2021-07-15,111.0,9.0,13.0
2021-07-22,129.0,12.0,14.0
2021-07-29,119.0,17.0,16.0
2021-08-05,102.0,11.0,14.0
2021-08-12,112.0,12.0,14.0
2021-08-19,135.0,17.0,15.0
2021-08-26,119.0,12.0,15.0
2021-09-02,113.0,8.0,16.0
2021-09-09,143.0,17.0,19.0
2021-09-16,120.0,23.0,23.0
2021-09-23,86.0,9.0,16.0
2021-09-30,83.0,15.0,18.0
2021-10-07,72.0,10.0,18.0
2021-10-14,74.0,14.0,21.0
2021-10-21,70.0,18.0,26.0
2021-10-28,62.0,16.0,25.0
2021-11-04,55.0,16.0,26.0
2021-11-11,63.0,12.0,28.0
2021-11-18,33.0,19.0,26.0
2021-11-25,31.0,18.0,26.0
2021-12-02,48.0,13.0,27.0
2021-12-09,62.0,15.0,32.0
2021-12-16,53.0,17.0,36.0
2021-12-23,29.0,30.0,42.0
2021-12-30,33.0,28.0,31.0
2022-01-07,43.0,20.0,26.0
2022-01-14,57.0,19.0,34.0
2022-01-21,66.0,21.0,35.0
2022-01-28,57.0,40.0,39.0
2022-02-04,82.0,15.0,24.0
2022-02-11,72.0,25.0,35.0
2022-02-18,70.0,19.0,34.0
2022-02-25,78.0,21.0,29.0
2022-03-04,91.0,19.0,26.0
2022-03-11,92.0,36.0,34.0
2022-03-18,83.0,35.0,27.0
2022-03-25,110.0,36.0,29.0
2022-04-01,130.0,37.0,30.0
2022-04-08,101.0,17.0,19.0
2022-04-15,122.0,17.0,24.0
2022-04-22,120.0,20.0,21.0
2022-04-29,103.0,11.0,18.0
2022-05-06,110.0,12.0,16.0
2022-05-13,120.0,14.0,14.0
2022-05-20,142.0,20.0,14.0
2022-05-27,127.0,19.0,13.0
2022-06-03,108.0,14.0,12.0
2022-06-10,105.0,13.0,13.0
2022-06-17,142.0,14.0,14.0
2022-06-24,141.0,25.0,17.0
2022-07-01,124.0,18.0,12.0
2022-07-08,134.0,13.0,12.0
2022-07-15,137.0,12.0,15.0
2022-07-22,181.0,23.0,18.0
2022-07-29,168.0,20.0,17.0
2022-08-05,143.0,11.0,16.0
2022-08-12,155.0,13.0,15.0
2022-08-19,133.0,12.0,14.0
2022-08-26,120.0,9.0,17.0
2022-09-02,131.0,13.0,16.0
2022-09-09,110.0,13.0,15.0
2022-09-16,110.0,12.0,17.0
2022-09-23,89.0,8.0,15.0
2022-09-30,73.0,12.0,18.0
2022-10-07,73.0,14.0,19.0
2022-10-14,67.0,19.0,19.0
2022-10-21,68.0,25.0,21.0
2022-10-28,46.0,20.0,19.0
2022-11-04,43.0,22.0,21.0
2022-11-11,47.0,12.0,23.0
2022-11-18,38.0,14.0,23.0
2022-11-25,64.0,10.0,25.0
2022-12-02,43.0,25.0,31.0
2022-12-09,41.0,15.0,28.0
2022-12-16,39.0,21.0,32.0
2022-12-23,29.0,23.0,35.0
2022-12-30,29.0,24.0,28.0
2023-01-07,20.0,20.0,23.0
2023-01-14,46.0,17.0,30.0
2023-01-21,53.0,15.0,27.0
2023-01-28,56.0,22.0,29.0
2023-02-04,76.0,23.0,31.0
2023-02-11,73.0,22.0,24.0
2023-02-18,79.0,35.0,41.0
2023-02-25,72.0,44.0,32.0
2023-03-04,72.0,21.0,21.0
2023-03-11,92.0,23.0,26.0
2023-03-18,93.0,11.0,18.0
2023-03-25,111.0,30.0,25.0
2023-04-01,93.0,10.0,19.0
2023-04-08,97.0,14.0,20.0
2023-04-15,105.0,12.0,16.0
2023-04-22,98.0,7.0,17.0
2023-04-29,112.0,10.0,18.0
2023-05-06,109.0,12.0,14.0
2023-05-13,99.0,11.0,13.0
2023-05-20,96.0,7.0,12.0
2023-05-27,98.0,13.0,12.0
2023-06-03,129.0,15.0,11.0
2023-06-10,132.0,11.0,9.0
2023-06-17,131.0,14.0,11.0
2023-06-24,141.0,20.0,12.0
2023-07-01,131.0,15.0,12.0
2023-07-08,121.0,11.0,11.0
2023-07-15,123.0,17.0,14.0
2023-07-22,135.0,21.0,14.0
2023-07-29,117.0,11.0,13.0
2023-08-05,117.0,12.0,11.0
2023-08-12,119.0,8.0,11.0
2023-08-19,131.0,15.0,11.0
2023-08-26,155.0,28.0,16.0
2023-09-02,95.0,7.0,12.0
2023-09-09,124.0,16.0,17.0
2023-09-16,119.0,18.0,16.0
2023-09-23,75.0,11.0,14.0
2023-09-30,97.0,13.0,16.0
2023-10-07,109.0,24.0,19.0
2023-10-14,79.0,31.0,21.0
2023-10-21,62.0,14.0,18.0
2023-10-28,48.0,9.0,18.0
2023-11-04,51.0,7.0,17.0
2023-11-11,49.0,8.0,22.0
2023-11-18,61.0,11.0,22.0
2023-11-25,64.0,14.0,26.0
2023-12-02,58.0,13.0,26.0
2023-12-09,51.0,14.0,27.0
2023-12-16,46.0,15.0,24.0
2023-12-23,54.0,17.0,31.0
2023-12-30,48.0,17.0,28.0
2024-01-07,48.0,11.0,25.0
2024-01-14,47.0,17.0,25.0
2024-01-21,56.0,20.0,30.0
2024-01-28,55.0,28.0,40.0
2024-02-04,54.0,26.0,38.0
2024-02-11,57.0,20.0,29.0
2024-02-18,60.0,17.0,29.0
2024-02-25,75.0,20.0,24.0
2024-03-03,56.0,11.0,22.0
2024-03-10,74.0,12.0,19.0
2024-03-17,91.0,12.0,20.0
2024-03-24,99.0,20.0,20.0
2024-03-31,76.0,17.0,22.0
2024-04-07,95.0,10.0,18.0
2024-04-14,110.0,16.0,18.0
2024-04-21,111.0,11.0,12.0
2024-04-28,94.0,8.0,14.0
2024-05-05,94.0,13.0,13.0
2024-05-12,103.0,10.0,13.0
2024-05-19,99.0,9.0,13.0
2024-05-26,96.0,8.0,12.0
2024-06-02,99.0,8.0,12.0
2024-06-09,118.0,13.0,12.0
2024-06-16,97.0,12.0,11.0
2024-06-23,112.0,18.0,11.0
2024-06-30,116.0,12.0,11.0
2024-07-07,112.0,14.0,11.0
2024-07-14,117.0,15.0,11.0
2024-07-21,147.0,18.0,13.0
2024-07-28,138.0,15.0,13.0
2024-08-04,148.0,17.0,12.0
2024-08-11,152.0,16.0,14.0
2024-08-18,141.0,18.0,12.0
2024-08-25,121.0,15.0,15.0
2024-09-01,135.0,18.0,16.0
2024-09-08,108.0,13.0,15.0
2024-09-15,87.0,7.0,10.0
2024-09-22,86.0,11.0,15.0
2024-09-29,67.0,10.0,15.0
2024-10-06,65.0,8.0,15.0
2024-10-13,52.0,9.0,18.0
2024-10-20,37.0,11.0,17.0
2024-10-27,48.0,18.0,15.0
2024-11-03,48.0,17.0,16.0
2024-11-10,53.0,20.0,24.0
2024-11-17,57.0,25.0,28.0
2024-11-24,60.0,17.0,25.0
2024-12-01,39.0,18.0,27.0
2024-12-08,54.0,21.0,32.0
2024-12-15,37.0,27.0,32.0
2024-12-22,56.0,16.0,29.0
2024-12-29,63.0,11.0,25.0
