AVIF,.avif
BLP,.blp
BMP,.bmp
DDS,.dds
DIB,.dib
EPS,.eps
GIF,.gif
ICNS,.icns
ICO,.ico
IM,.im
JPEG,.jpg .jpeg
JPEG2000,.j2k .jp2 .jpx
MPO,.mpo
PCX,.pcx
PFM,.pfm
PNG,.png .apng
PPM,.pbm .pgm .ppm .pnm
SGI,.sgi
SPIDER,.spi
TGA,.tga
TIFF,.tiff .tif
WebP,.webp
XBM,.xbm
PDF,.pdf
PALM,.palm
MSP,.msp
