date,10_percentile_5p_y,90_percentile_5p_y,mediana_5p_y,media
07.01.2020 00:00:00,29.0,39.0,35.0,38.0
14.01.2020 00:00:00,31.0,50.0,37.0,45.0
21.01.2020 00:00:00,35.0,42.0,37.0,41.0
28.01.2020 00:00:00,41.0,58.0,45.0,48.0
04.02.2020 00:00:00,36.0,55.0,44.0,34.0
11.02.2020 00:00:00,36.0,46.0,38.0,34.0
18.02.2020 00:00:00,37.0,50.0,39.0,31.0
25.02.2020 00:00:00,34.0,46.0,40.0,35.0
03.03.2020 00:00:00,32.0,38.0,33.0,26.0
10.03.2020 00:00:00,29.0,37.0,35.0,23.0
17.03.2020 00:00:00,25.0,42.0,36.0,22.0
24.03.2020 00:00:00,27.0,37.0,31.0,17.0
31.03.2020 00:00:00,27.0,31.0,29.0,13.0
07.04.2020 00:00:00,20.0,27.0,25.0,16.0
14.04.2020 00:00:00,23.0,35.0,26.0,14.0
21.04.2020 00:00:00,21.0,30.0,26.0,12.0
28.04.2020 00:00:00,18.0,26.0,24.0,12.0
05.05.2020 00:00:00,16.0,22.0,21.0,11.0
12.05.2020 00:00:00,17.0,27.0,22.0,13.0
19.05.2020 00:00:00,17.0,22.0,21.0,10.0
26.05.2020 00:00:00,17.0,21.0,18.0,11.0
02.06.2020 00:00:00,16.0,24.0,22.0,11.0
09.06.2020 00:00:00,16.0,21.0,18.0,12.0
16.06.2020 00:00:00,16.0,21.0,17.0,10.0
23.06.2020 00:00:00,16.0,19.0,19.0,12.0
30.06.2020 00:00:00,17.0,21.0,19.0,13.0
07.07.2020 00:00:00,15.0,22.0,19.0,13.0
14.07.2020 00:00:00,16.0,22.0,19.0,13.0
21.07.2020 00:00:00,19.0,25.0,20.0,14.0
28.07.2020 00:00:00,18.0,23.0,21.0,16.0
04.08.2020 00:00:00,18.0,22.0,20.0,15.0
11.08.2020 00:00:00,16.0,22.0,18.0,16.0
18.08.2020 00:00:00,15.0,20.0,19.0,14.0
25.08.2020 00:00:00,16.0,21.0,20.0,16.0
01.09.2020 00:00:00,20.0,27.0,23.0,17.0
08.09.2020 00:00:00,18.0,23.0,22.0,17.0
15.09.2020 00:00:00,21.0,26.0,22.0,19.0
22.09.2020 00:00:00,20.0,25.0,22.0,21.0
29.09.2020 00:00:00,23.0,27.0,26.0,16.0
06.10.2020 00:00:00,23.0,28.0,27.0,19.0
13.10.2020 00:00:00,25.0,32.0,27.0,17.0
20.10.2020 00:00:00,25.0,35.0,29.0,24.0
27.10.2020 00:00:00,24.0,35.0,30.0,25.0
03.11.2020 00:00:00,23.0,35.0,31.0,24.0
10.11.2020 00:00:00,27.0,37.0,32.0,25.0
17.11.2020 00:00:00,27.0,44.0,35.0,28.0
