date,No Locarno mensili 2020-24,NO2 Locarno mensili 2020-24,NOx Locarno mensili 2020-24,PM 10 Locarno mensili 2020-24,PM 2.5 Locarno mensili 2020-24,station_id
2020-01-15,26.0,39.0,41.0,21.0,15.0,Locarno
2020-02-15,13.0,31.0,27.0,21.0,16.0,Locarno
2020-03-15,5.0,20.0,14.0,18.0,12.0,Locarno
2020-04-15,3.0,14.0,9.0,17.0,11.0,Locarno
2020-05-15,3.0,11.0,8.0,12.0,6.0,Locarno
2020-06-15,3.0,12.0,9.0,10.0,6.0,Locarno
2020-07-15,3.0,13.0,9.0,14.0,8.0,Locarno
2020-08-15,3.0,13.0,9.0,13.0,7.0,Locarno
2020-09-15,5.0,16.0,12.0,14.0,9.0,Locarno
2020-10-15,10.0,21.0,19.0,10.0,7.0,Locarno
2020-11-15,17.0,26.0,27.0,22.0,16.0,Locarno
2020-12-15,21.0,30.0,32.0,17.0,14.0,Locarno
2021-01-15,14.0,31.0,28.0,17.0,13.0,Locarno
2021-02-15,13.0,28.0,25.0,31.0,18.0,Locarno
2021-03-15,6.0,22.0,16.0,20.0,12.0,Locarno
2021-04-15,4.0,18.0,12.0,18.0,11.0,Locarno
2021-05-15,4.0,12.0,9.0,9.0,4.0,Locarno
2021-06-15,3.0,11.0,8.0,16.0,9.0,Locarno
2021-07-15,3.0,12.0,9.0,11.0,7.0,Locarno
2021-08-15,3.0,12.0,9.0,11.0,6.0,Locarno
2021-09-15,4.0,15.0,11.0,14.0,9.0,Locarno
2021-10-15,8.0,20.0,17.0,12.0,8.0,Locarno
2021-11-15,14.0,25.0,24.0,13.0,10.0,Locarno
2021-12-15,25.0,33.0,38.0,20.0,15.0,Locarno
2022-01-15,17.0,32.0,30.0,21.0,17.0,Locarno
2022-02-15,9.0,28.0,22.0,16.0,12.0,Locarno
2022-03-15,5.0,28.0,18.0,34.0,27.0,Locarno
2022-04-15,3.0,19.0,12.0,16.0,10.0,Locarno
2022-05-15,3.0,13.0,9.0,15.0,9.0,Locarno
2022-06-15,2.0,12.0,8.0,16.0,9.0,Locarno
2022-07-15,2.0,12.0,8.0,15.0,9.0,Locarno
2022-08-15,2.0,12.0,8.0,10.0,6.0,Locarno
2022-09-15,3.0,13.0,10.0,8.0,5.0,Locarno
2022-10-15,8.0,18.0,16.0,17.0,11.0,Locarno
2022-11-15,11.0,23.0,21.0,13.0,10.0,Locarno
2022-12-15,17.0,28.0,28.0,18.0,14.0,Locarno
2023-01-15,15.0,27.0,26.0,18.0,14.0,Locarno
2023-02-15,11.0,28.0,23.0,28.0,22.0,Locarno
2023-03-15,5.0,20.0,14.0,17.0,13.0,Locarno
2023-04-15,3.0,15.0,11.0,10.0,6.0,Locarno
2023-05-15,3.0,11.0,8.0,10.0,6.0,Locarno
2023-06-15,3.0,9.0,7.0,13.0,9.0,Locarno
2023-07-15,3.0,10.0,7.0,14.0,9.0,Locarno
2023-08-15,3.0,10.0,7.0,15.0,9.0,Locarno
2023-09-15,4.0,12.0,10.0,14.0,8.0,Locarno
2023-10-15,6.0,17.0,14.0,18.0,10.0,Locarno
2023-11-15,9.0,22.0,19.0,9.0,6.0,Locarno
2023-12-15,15.0,28.0,26.0,15.0,11.0,Locarno
2024-01-15,14.0,30.0,27.0,18.0,13.0,Locarno
2024-02-15,14.0,29.0,26.0,16.0,11.0,Locarno
2024-03-15,5.0,19.0,14.0,12.0,8.0,Locarno
2024-04-15,4.0,15.0,10.0,11.0,5.0,Locarno
2024-05-15,3.0,11.0,8.0,9.0,5.0,Locarno
2024-06-15,3.0,10.0,7.0,13.0,7.0,Locarno
2024-07-15,2.0,11.0,7.0,16.0,10.0,Locarno
2024-08-15,2.0,14.0,9.0,17.0,11.0,Locarno
2024-09-15,3.0,12.0,9.0,9.0,5.0,Locarno
2024-10-15,8.0,15.0,14.0,13.0,7.0,Locarno
2024-11-15,11.0,23.0,21.0,16.0,12.0,Locarno
2024-12-15,16.0,31.0,29.0,18.0,13.0,Locarno
