date,No Airolo mensili 2020-24,NO2 Airolo mensili 2020-24,NOx Airolo mensili 2020-24,PM 2.5 Airolo mensili 2020-24,PM10 Airolo mensili 2020-24,station_id
2020-01-15,9.0,32.0,24.0,8.0,13.0,Airolo
2020-02-15,5.0,22.0,15.0,5.0,10.0,Airolo
2020-03-15,2.0,11.0,7.0,6.0,9.0,Airolo
2020-04-15,1.0,7.0,4.0,7.0,10.0,Airolo
2020-05-15,1.0,7.0,5.0,4.0,8.0,Airolo
2020-06-15,1.0,8.0,5.0,4.0,7.0,Airolo
2020-07-15,2.0,11.0,8.0,6.0,10.0,Airolo
2020-08-15,2.0,12.0,7.0,5.0,8.0,Airolo
2020-09-15,2.0,12.0,8.0,6.0,9.0,Airolo
2020-10-15,3.0,14.0,10.0,4.0,6.0,Airolo
2020-11-15,9.0,21.0,18.0,6.0,10.0,Airolo
2020-12-15,9.0,25.0,20.0,6.0,8.0,Airolo
2021-01-15,6.0,22.0,17.0,6.0,8.0,Airolo
2021-02-15,6.0,21.0,16.0,10.0,22.0,Airolo
2021-03-15,2.0,11.0,8.0,5.0,9.0,Airolo
2021-04-15,2.0,10.0,7.0,7.0,10.0,Airolo
2021-05-15,2.0,8.0,5.0,2.0,4.0,Airolo
2021-06-15,2.0,10.0,7.0,6.0,12.0,Airolo
2021-07-15,3.0,13.0,9.0,5.0,10.0,Airolo
2021-08-15,3.0,11.0,8.0,5.0,9.0,Airolo
2021-09-15,3.0,13.0,10.0,6.0,10.0,Airolo
2021-10-15,5.0,16.0,12.0,4.0,8.0,Airolo
2021-11-15,6.0,20.0,16.0,4.0,7.0,Airolo
2021-12-15,5.0,23.0,16.0,5.0,8.0,Airolo
2022-01-15,4.0,16.0,11.0,4.0,8.0,Airolo
2022-02-15,3.0,16.0,10.0,4.0,7.0,Airolo
2022-03-15,2.0,15.0,9.0,16.0,23.0,Airolo
2022-04-15,2.0,11.0,7.0,5.0,8.0,Airolo
2022-05-15,2.0,9.0,6.0,5.0,9.0,Airolo
2022-06-15,2.0,10.0,7.0,6.0,12.0,Airolo
2022-07-15,1.0,10.0,6.0,7.0,11.0,Airolo
2022-08-15,1.0,11.0,7.0,5.0,8.0,Airolo
2022-09-15,2.0,10.0,7.0,3.0,6.0,Airolo
2022-10-15,4.0,15.0,11.0,6.0,15.0,Airolo
2022-11-15,4.0,17.0,12.0,5.0,11.0,Airolo
2022-12-15,9.0,28.0,22.0,6.0,12.0,Airolo
2023-01-15,5.0,20.0,15.0,4.0,12.0,Airolo
2023-02-15,3.0,15.0,10.0,7.0,17.0,Airolo
2023-03-15,2.0,12.0,8.0,5.0,10.0,Airolo
2023-04-15,2.0,10.0,7.0,3.0,6.0,Airolo
2023-05-15,2.0,8.0,5.0,3.0,8.0,Airolo
2023-06-15,2.0,9.0,6.0,6.0,12.0,Airolo
2023-07-15,2.0,10.0,7.0,6.0,11.0,Airolo
2023-08-15,2.0,10.0,7.0,5.0,10.0,Airolo
2023-09-15,3.0,11.0,8.0,5.0,9.0,Airolo
2023-10-15,4.0,14.0,10.0,5.0,11.0,Airolo
2023-11-15,4.0,18.0,13.0,3.0,6.0,Airolo
2023-12-15,6.0,21.0,16.0,4.0,6.0,Airolo
2024-01-15,6.0,22.0,16.0,4.0,8.0,Airolo
2024-02-15,5.0,18.0,13.0,4.0,8.0,Airolo
2024-03-15,3.0,15.0,10.0,3.0,7.0,Airolo
2024-04-15,2.0,10.0,7.0,3.0,8.0,Airolo
2024-05-15,2.0,9.0,6.0,2.0,4.0,Airolo
2024-06-15,2.0,9.0,6.0,4.0,9.0,Airolo
2024-07-15,2.0,11.0,7.0,6.0,10.0,Airolo
2024-08-15,2.0,12.0,8.0,7.0,11.0,Airolo
2024-09-15,3.0,12.0,9.0,3.0,7.0,Airolo
2024-10-15,7.0,15.0,13.0,3.0,8.0,Airolo
2024-11-15,8.0,22.0,18.0,4.0,11.0,Airolo
2024-12-15,6.0,23.0,17.0,5.0,11.0,Airolo
