para,min,max
lai,1.0,15.0
LIDFa,-1.0,1.0
LIDFb,-1.0,1.0
hspot (q also),1e-06,1.0
tts,0.0,90.0
tto,0.0,90.0
psi,0.0,180.0
psoil,0.0,1.0
N,1.0,5.0
Cab,10.0,250.0
Car,1.0,80.0
Cbrown,0.0,10.0
Cw,5e-05,0.4
Cm,5e-05,0.3
Canth,0.0,50.0
