ID,Name,Value,Category,Timestamp
12,Name_12,585,D,2023-12-25
13,Name_13,742,A,2024-01-15
16,Name_16,456,D,2024-04-22
17,Name_17,789,A,2024-05-30
1,Name_1,524,A,2023-01-05
2,Name_2,839,B,2023-02-14
3,Name_3,301,C,2023-03-22
4,Name_4,765,D,2023-04-10
5,Name_5,612,A,2023-05-19
6,Name_6,490,B,2023-06-03
7,Name_7,710,C,2023-07-17
8,Name_8,923,D,2023-08-24
9,Name_9,650,A,2023-09-30
10,Name_10,431,B,2023-10-11
11,Name_11,377,C,2023-11-05
18,Name_18,612,B,2024-06-15
19,Name_19,478,C,2024-07-28
20,Name_20,820,D,2024-08-12
21,Name_21,590,A,2024-09-05
22,Name_22,734,B,2024-10-19
23,Name_23,499,C,2024-11-02
24,Name_24,655,D,2024-12-30
14,Name_14,568,B,2024-02-20
15,Name_15,834,C,2024-03-18
25,Name_25,712,A,2025-01-14
26,Name_26,843,B,2025-02-28
27,Name_27,601,C,2025-03-15
28,Name_28,478,D,2025-04-20
29,Name_29,765,A,2025-05-10
30,Name_30,590,B,2025-06-25
31,Name_31,834,C,2025-07-18
32,Name_32,456,D,2025-08-05
