date,traffic,no,no2,nox,pm10,pm25,station_id
2020-01-15,11800.0,9.0,32.0,24.0,13.0,8.0,Airolo
2020-02-15,11900.0,5.0,22.0,15.0,10.0,5.0,Airolo
2020-03-15,6000.0,2.0,11.0,7.0,9.0,6.0,Airolo
2020-04-15,3600.0,1.0,7.0,4.0,10.0,7.0,Airolo
2020-05-15,7100.0,1.0,7.0,5.0,8.0,4.0,Airolo
2020-06-15,15050.0,1.0,8.0,5.0,7.0,4.0,Airolo
2020-07-15,23000.0,2.0,11.0,8.0,10.0,6.0,Airolo
2020-08-15,24000.0,2.0,12.0,7.0,8.0,5.0,Airolo
2020-09-15,21000.0,2.0,12.0,8.0,9.0,6.0,Airolo
2020-10-15,17400.0,3.0,14.0,10.0,6.0,4.0,Airolo
2020-11-15,9900.0,9.0,21.0,18.0,10.0,6.0,Airolo
2020-12-15,8800.0,9.0,25.0,20.0,8.0,6.0,Airolo
2021-01-15,9750.0,6.0,22.0,17.0,8.0,6.0,Airolo
2021-02-15,10700.0,6.0,21.0,16.0,22.0,10.0,Airolo
2021-03-15,11800.0,2.0,11.0,8.0,9.0,5.0,Airolo
2021-04-15,15000.0,2.0,10.0,7.0,10.0,7.0,Airolo
2021-05-15,17700.0,2.0,8.0,5.0,4.0,2.0,Airolo
2021-06-15,18500.0,2.0,10.0,7.0,12.0,6.0,Airolo
2021-07-15,25000.0,3.0,13.0,9.0,10.0,5.0,Airolo
2021-08-15,27000.0,3.0,11.0,8.0,9.0,5.0,Airolo
2021-09-15,21000.0,3.0,13.0,10.0,10.0,6.0,Airolo
2021-10-15,21000.0,5.0,16.0,12.0,8.0,4.0,Airolo
2021-11-15,13900.0,6.0,20.0,16.0,7.0,4.0,Airolo
2021-12-15,13200.0,5.0,23.0,16.0,8.0,5.0,Airolo
2022-01-15,11800.0,4.0,16.0,11.0,8.0,4.0,Airolo
2022-02-15,13500.0,3.0,16.0,10.0,7.0,4.0,Airolo
2022-03-15,14100.0,2.0,15.0,9.0,23.0,16.0,Airolo
2022-04-15,21000.0,2.0,11.0,7.0,8.0,5.0,Airolo
2022-05-15,19000.0,2.0,9.0,6.0,9.0,5.0,Airolo
2022-06-15,21000.0,2.0,10.0,7.0,12.0,6.0,Airolo
2022-07-15,21000.0,1.0,10.0,6.0,11.0,7.0,Airolo
2022-08-15,27000.0,1.0,11.0,7.0,8.0,5.0,Airolo
2022-09-15,22000.0,2.0,10.0,7.0,6.0,3.0,Airolo
2022-10-15,19700.0,4.0,15.0,11.0,15.0,6.0,Airolo
2022-11-15,14100.0,4.0,17.0,12.0,11.0,5.0,Airolo
2022-12-15,13500.0,9.0,28.0,22.0,12.0,6.0,Airolo
2023-01-15,12900.0,5.0,20.0,15.0,12.0,4.0,Airolo
2023-02-15,13800.0,3.0,15.0,10.0,17.0,7.0,Airolo
2023-03-15,13000.0,2.0,12.0,8.0,10.0,5.0,Airolo
2023-04-15,22000.0,2.0,10.0,7.0,6.0,3.0,Airolo
2023-05-15,19900.0,2.0,8.0,5.0,8.0,3.0,Airolo
2023-06-15,21000.0,2.0,9.0,6.0,12.0,6.0,Airolo
2023-07-15,27000.0,2.0,10.0,7.0,11.0,6.0,Airolo
2023-08-15,27000.0,2.0,10.0,7.0,10.0,5.0,Airolo
2023-09-15,18000.0,3.0,11.0,8.0,9.0,5.0,Airolo
2023-10-15,18400.0,4.0,14.0,10.0,11.0,5.0,Airolo
2023-11-15,14400.0,4.0,18.0,13.0,6.0,3.0,Airolo
2023-12-15,15300.0,6.0,21.0,16.0,6.0,4.0,Airolo
2024-01-15,13200.0,6.0,22.0,16.0,8.0,4.0,Airolo
2024-02-15,13800.0,5.0,18.0,13.0,8.0,4.0,Airolo
2024-03-15,16300.0,3.0,15.0,10.0,7.0,3.0,Airolo
2024-04-15,21000.0,2.0,10.0,7.0,8.0,3.0,Airolo
2024-05-15,23000.0,2.0,9.0,6.0,4.0,2.0,Airolo
2024-06-15,22000.0,2.0,9.0,6.0,9.0,4.0,Airolo
2024-07-15,19000.0,2.0,11.0,7.0,10.0,6.0,Airolo
2024-08-15,28000.0,2.0,12.0,8.0,11.0,7.0,Airolo
2024-09-15,23000.0,3.0,12.0,9.0,7.0,3.0,Airolo
2024-10-15,19800.0,7.0,15.0,13.0,8.0,3.0,Airolo
2024-11-15,14400.0,8.0,22.0,18.0,11.0,4.0,Airolo
2024-12-15,14500.0,6.0,23.0,17.0,11.0,5.0,Airolo
