New Hance,,,,,,,,,,
,,,,,,,,,,
Start,,"35.99075, -111.93578",7021',,,,,,,
New Hance TH,1,"35.99108, -111.93568",7026',+5',,195 ft,14° TN,01 min,01 min,
VP,2,"36.00936, -111.92873",5045',+251',-2233',2.1 mi,17° TN,1 hr 56 min,1 hr 57 min,
Flowing water,3,"36.02516, -111.92932",3330',+19',-1734',1.66 mi,358° TN,1 hr 21 min,3 hr 17 min,
hike drainage,4,"36.02646, -111.92840",3249',,-82',550 ft,30° TN,04 min,3 hr 22 min,Red Canyon
water,5,"36.04461, -111.92072",2606',,-644',1.52 mi,19° TN,44 min,4 hr 06 min,
,Break,,,,,,,30 min,4 hr 36 min,
End,6,"36.04492, -111.92035",2595',,-11',158 ft,44° TN,01 min,4 hr 37 min,
total,,,,+277',-4703',5.45 mi,,,4 hr 37 min,
,,,,,,,,,,
Tonto,,,,,,,,,,
,,,,,,,,,,
Start,,"36.04495, -111.92038",2594',,,,,,,
snack,1,"36.02998, -111.93997",3436',+941',-100',2.24 mi,227° TN,1 hr 31 min,1 hr 31 min,
,Break,,,,,,,20 min,1 hr 51 min,
camp,2,"36.01708, -111.95930",3698',+596',-333',3.46 mi,230° TN,1 hr 39 min,3 hr 30 min,
End,3,"36.01724, -111.95965",3711',+14',,121 ft,300° TN,01 min,3 hr 31 min,
total,,,,+1550',-434',5.72 mi,,,3 hr 31 min,
,,,,,,,,,,
Tonto 2,,,,,,,,,,
,,,,,,,,,,
Start,,"36.01723, -111.95966",3714',,,,,,,
view2,1,"36.01753, -111.95977",3714',,,199 ft,343° TN,01 min,01 min,
End,2,"36.03658, -111.97768",3908',+408',-215',3.31 mi,323° TN,1 hr 20 min,1 hr 21 min,
total,,,,+409',-215',3.34 mi,,,1 hr 21 min,
,,,,,,,,,,
Up W arm,,,,,,,,,,
,,,,,,,,,,
Start,,"36.03654, -111.97785",3921',,,,,,,
End,1,"36.03133, -111.98268",4848',+927',,0.55 mi,217° TN,56 min,56 min,
total,,,,+927',,0.55 mi,,,56 min,
,,,,,,,,,,
West arm option OB,,,,,,,,,,
,,,,,,,,,,
Start,,"36.03126, -111.98268",4857',,,,,,,
West arm point,1,"36.03529, -111.98293",4904',+78',-31',1540 ft,357° TN,10 min,10 min,
End,2,"36.03126, -111.98268",4857',+42',-89',2164 ft,177° TN,12 min,22 min,
total,,,,+120',-120',0.7 mi,,,22 min,
,,,,,,,,,,
GV tr,,,,,,,,,,
,,,,,,,,,,
Start,,"36.03121, -111.98267",4862',,,,,,,
End,1,"36.02036, -111.97591",4885',+104',-80',0.93 mi,153° TN,23 min,23 min,
total,,,,+104',-80',0.93 mi,,,23 min,
,,,,,,,,,,
up GV,,,,,,,,,,
,,,,,,,,,,
Start,,"36.02030, -111.97591",4885',,,,,,,
car,1,"35.99806, -111.98771",7422',+2545',-8',2.45 mi,203° TN,2 hr 52 min,2 hr 52 min,
End,2,"35.99758, -111.98758",7428',+6',,188 ft,168° TN,01 min,2 hr 52 min,
total,,,,+2551',-8',2.49 mi,,,2 hr 52 min,
,,,,,,,,,,
