var;FRC_males;FRC_females;TLC_males;TLC_females;RV_males;RV_females;RV_TLC_males;RV_TLC_females;ERV_males;ERV_females;IC_males;IC_females;VC_males;VC_females
a0;-134.898;-127.674;-105.861;-101.128;-237.211;-250.593;2.634;2.666;-1.732.865;-14.145.513;-10.121.688;-94.438.787;-10.134.371;-92.306
a1;0.1111;0.1251;0.1433;0.1062;0.01346;0.01307;0.01302;0.01411;-0.006288;-0.009573;0.001265;-0.0002484;-0.003532;-0.005517
a2;27.634;26.049;23.155;22.259;0.01307;0.01379;-8,86E-02;-3,69E-02;3.478.116;2.871.446;2.188.801;20.312.769;230.798;2.116.822
p0;-160.197;-14.831;-20.616.143;-20.999.321;-0.878572;-0.90255;-0.96804;-0.976602;-1.307.616;-154.992;-1.856.546;-1.775.276;-21.367.411;-222.026
p1;0.01513;-0.03372;-0.0008534;0.0001564;0.007032;-0.006005;-0.01004;-0.009679;0.009177;0.01409;0.002008;0.002673;0.0009367;0.002956
q0;0.3416;0.2898;0.9337;0.4636;0.5931;0.4197;0.8646;0.8037;0.5517;0.5326;1.146;0.9726;0.8611;1.038
