date,precipitazioni,temperatura,vento
2020-02,2.1,7.1,1.6
2020-03,119.5,8.5,1.5
2020-04,137.0,13.4,1.5
2020-05,241.5,18.0,1.6
2020-06,333.9,20.1,1.6
2020-07,60.0,23.6,1.7
2020-08,255.2,23.5,1.6
2020-09,188.9,18.7,1.3
2020-10,356.7,11.8,1.2
2020-11,3.8,8.3,1.1
2020-12,141.6,3.9,1.1
2021-01,100.2,2.4,1.1
2021-02,71.1,6.8,1.2
2021-03,9.0,8.7,1.7
2021-04,85.6,11.1,2.0
2021-05,156.6,15.5,1.8
2021-06,43.4,22.7,1.6
2021-07,264.4,22.5,1.6
2021-08,159.4,22.1,1.5
2021-09,168.3,19.3,1.2
2021-10,140.4,12.1,1.1
2021-11,144.4,7.7,1.0
2021-12,18.9,3.3,1.0
2022-01,8.9,3.9,1.5
2022-02,16.0,6.2,1.7
2022-03,5.9,8.0,1.3
2022-04,72.5,12.5,1.7
2022-05,51.9,19.2,1.5
2022-06,152.8,22.9,1.5
2022-07,102.2,25.8,1.6
2022-08,142.2,24.1,1.5
2022-09,259.7,18.1,1.4
2022-10,179.4,15.5,0.9
2022-11,66.9,8.7,1.1
2022-12,75.1,4.4,1.0
2023-01,25.4,4.5,1.3
2023-02,0.0,6.1,1.3
2023-03,52.5,10.0,1.5
2023-04,105.9,12.7,1.8
2023-05,154.6,16.9,1.4
2023-06,124.8,22.2,1.5
2023-07,182.3,23.7,1.4
2023-08,167.6,23.7,1.7
2023-09,233.6,19.8,1.3
2023-10,218.3,15.6,1.1
2023-11,81.6,7.5,1.4
2023-12,74.7,5.7,1.2
2024-01,47.5,4.0,1.2
2024-02,189.4,7.7,1.0
2024-03,249.8,9.9,1.3
2024-04,109.4,13.1,1.9
2024-05,295.8,15.9,1.3
2024-06,94.2,20.4,1.4
2024-07,123.3,24.6,1.3
2024-08,75.0,25.1,1.4
2024-09,189.5,18.0,1.6
2024-10,294.9,14.3,0.9
2024-11,14.2,7.0,1.0
2024-12,12.1,3.9,1.3
