date,traffic,no,no2,nox,pm10,pm25,station_id
2020-01-15,,23000.0,36.0,37.0,,15.0,Pregassona
2020-02-15,,24000.0,29.0,25.0,,19.0,Pregassona
2020-03-15,,15000.0,18.0,14.0,,13.0,Pregassona
2020-04-15,,12800.0,13.0,9.0,,14.0,Pregassona
2020-05-15,,19600.0,10.0,8.0,,7.0,Pregassona
2020-06-15,,24000.0,9.0,7.0,,6.0,Pregassona
2020-07-15,,26000.0,11.0,8.0,,9.0,Pregassona
2020-08-15,,22000.0,11.0,8.0,,8.0,Pregassona
2020-09-15,,26000.0,13.0,10.0,,8.0,Pregassona
2020-10-15,,25000.0,17.0,16.0,,6.0,Pregassona
2020-11-15,,22000.0,26.0,25.0,,19.0,Pregassona
2020-12-15,,18900.0,30.0,35.0,,12.0,Pregassona
2021-01-15,,18300.0,29.0,27.0,,14.0,Pregassona
2021-02-15,,21000.0,29.0,26.0,,21.0,Pregassona
2021-03-15,,23000.0,22.0,18.0,,15.0,Pregassona
2021-04-15,,23000.0,18.0,14.0,,12.0,Pregassona
2021-05-15,,23000.0,12.0,9.0,,4.0,Pregassona
2021-06-15,,24000.0,12.0,8.0,,9.0,Pregassona
2021-07-15,,24000.0,11.0,8.0,,7.0,Pregassona
2021-08-15,,22000.0,10.0,7.0,,6.0,Pregassona
2021-09-15,,25000.0,14.0,11.0,,10.0,Pregassona
2021-10-15,,25000.0,17.0,15.0,,10.0,Pregassona
2021-11-15,,24000.0,22.0,25.0,,9.0,Pregassona
2021-12-15,,22000.0,29.0,36.0,,13.0,Pregassona
2022-01-15,,19500.0,29.0,29.0,,16.0,Pregassona
2022-02-15,,24000.0,26.0,24.0,,13.0,Pregassona
2022-03-15,,25000.0,26.0,20.0,,26.0,Pregassona
2022-04-15,,24000.0,18.0,13.0,,10.0,Pregassona
2022-05-15,,24000.0,12.0,9.0,,9.0,Pregassona
2022-06-15,,24000.0,10.0,8.0,,9.0,Pregassona
2022-07-15,,24000.0,10.0,7.0,,9.0,Pregassona
2022-08-15,,22000.0,10.0,7.0,,6.0,Pregassona
2022-09-15,,25000.0,12.0,10.0,,6.0,Pregassona
2022-10-15,,24000.0,15.0,14.0,,12.0,Pregassona
2022-11-15,,24000.0,21.0,21.0,,9.0,Pregassona
2022-12-15,,22000.0,27.0,30.0,,15.0,Pregassona
2023-01-15,,22000.0,25.0,26.0,,15.0,Pregassona
2023-02-15,,24000.0,26.0,23.0,,20.0,Pregassona
2023-03-15,,25000.0,22.0,17.0,,14.0,Pregassona
2023-04-15,,24000.0,15.0,11.0,,7.0,Pregassona
2023-05-15,,24000.0,10.0,8.0,,6.0,Pregassona
2023-06-15,,24000.0,9.0,7.0,,9.0,Pregassona
2023-07-15,,24000.0,9.0,7.0,,9.0,Pregassona
2023-08-15,,22000.0,9.0,6.0,,8.0,Pregassona
2023-09-15,,25000.0,12.0,9.0,,9.0,Pregassona
2023-10-15,,25000.0,14.0,13.0,,11.0,Pregassona
2023-11-15,,24000.0,19.0,17.0,,6.0,Pregassona
2023-12-15,,22000.0,25.0,25.0,,10.0,Pregassona
2024-01-15,,22000.0,27.0,26.0,,14.0,Pregassona
2024-02-15,,24000.0,26.0,24.0,,13.0,Pregassona
2024-03-15,,24000.0,18.0,14.0,,10.0,Pregassona
2024-04-15,,25000.0,13.0,10.0,,6.0,Pregassona
2024-05-15,,24000.0,10.0,7.0,,5.0,Pregassona
2024-06-15,,24000.0,9.0,6.0,,7.0,Pregassona
2024-07-15,,25000.0,9.0,6.0,,10.0,Pregassona
2024-08-15,,22000.0,9.0,6.0,,11.0,Pregassona
2024-09-15,,25000.0,10.0,8.0,,5.0,Pregassona
2024-10-15,,25000.0,14.0,13.0,,7.0,Pregassona
2024-11-15,,25000.0,20.0,18.0,,12.0,Pregassona
2024-12-15,,22000.0,26.0,24.0,,10.0,Pregassona
