date,traffic,no,no2,nox,pm10,pm25,station_id
2020-01-15,24000.0,57.0,47.0,70.0,27.0,17.0,Bioggio
2020-02-15,25000.0,25.0,37.0,39.0,27.0,19.0,Bioggio
2020-03-15,14900.0,6.0,20.0,15.0,21.0,14.0,Bioggio
2020-04-15,12700.0,3.0,16.0,11.0,22.0,14.0,Bioggio
2020-05-15,19500.0,2.0,12.0,8.0,14.0,7.0,Bioggio
2020-06-15,25000.0,3.0,12.0,9.0,10.0,5.0,Bioggio
2020-07-15,27000.0,3.0,16.0,11.0,15.0,8.0,Bioggio
2020-08-15,25000.0,3.0,18.0,12.0,13.0,7.0,Bioggio
2020-09-15,25500.0,8.0,23.0,18.0,16.0,10.0,Bioggio
2020-10-15,26000.0,17.0,24.0,26.0,12.0,7.0,Bioggio
2020-11-15,22000.0,34.0,34.0,45.0,31.0,23.0,Bioggio
2020-12-15,18300.0,32.0,36.0,45.0,18.0,15.0,Bioggio
2021-01-15,18000.0,23.0,38.0,38.0,23.0,17.0,Bioggio
2021-02-15,21000.0,16.0,32.0,29.0,36.0,22.0,Bioggio
2021-03-15,22000.0,12.0,28.0,24.0,25.0,15.0,Bioggio
2021-04-15,23000.0,5.0,20.0,14.0,20.0,12.0,Bioggio
2021-05-15,23000.0,3.0,14.0,9.0,8.0,4.0,Bioggio
2021-06-15,26000.0,2.0,15.0,9.0,17.0,9.0,Bioggio
2021-07-15,27000.0,3.0,17.0,12.0,13.0,7.0,Bioggio
2021-08-15,26000.0,3.0,17.0,11.0,12.0,6.0,Bioggio
2021-09-15,27000.0,6.0,24.0,18.0,17.0,10.0,Bioggio
2021-10-15,26000.0,18.0,26.0,28.0,18.0,11.0,Bioggio
2021-11-15,25000.0,25.0,29.0,35.0,16.0,11.0,Bioggio
2021-12-15,23000.0,56.0,41.0,66.0,25.0,18.0,Bioggio
2022-01-15,23000.0,35.0,38.0,48.0,27.0,20.0,Bioggio
2022-02-15,25000.0,23.0,35.0,37.0,24.0,15.0,Bioggio
2022-03-15,26000.0,10.0,33.0,26.0,43.0,29.0,Bioggio
2022-04-15,26000.0,6.0,22.0,16.0,20.0,12.0,Bioggio
2022-05-15,27000.0,3.0,14.0,10.0,17.0,10.0,Bioggio
2022-06-15,27000.0,3.0,15.0,10.0,19.0,9.0,Bioggio
2022-07-15,27000.0,3.0,16.0,11.0,18.0,10.0,Bioggio
2022-08-15,26000.0,3.0,17.0,11.0,13.0,7.0,Bioggio
2022-09-15,26000.0,7.0,19.0,15.0,13.0,6.0,Bioggio
2022-10-15,26000.0,18.0,23.0,26.0,22.0,13.0,Bioggio
2022-11-15,25000.0,25.0,29.0,35.0,17.0,11.0,Bioggio
2022-12-15,24000.0,38.0,34.0,48.0,23.0,17.0,Bioggio
2023-01-15,23000.0,25.0,31.0,36.0,23.0,16.0,Bioggio
2023-02-15,25000.0,21.0,33.0,34.0,35.0,24.0,Bioggio
2023-03-15,25000.0,10.0,27.0,22.0,25.0,17.0,Bioggio
2023-04-15,25000.0,6.0,20.0,15.0,14.0,8.0,Bioggio
2023-05-15,27000.0,3.0,12.0,9.0,12.0,7.0,Bioggio
2023-06-15,28000.0,2.0,11.0,8.0,16.0,9.0,Bioggio
2023-07-15,27000.0,3.0,13.0,9.0,16.0,9.0,Bioggio
2023-08-15,26000.0,2.0,12.0,8.0,16.0,9.0,Bioggio
2023-09-15,25500.0,6.0,20.0,15.0,17.0,9.0,Bioggio
2023-10-15,25000.0,11.0,22.0,20.0,20.0,10.0,Bioggio
2023-11-15,24500.0,19.0,28.0,30.0,12.0,7.0,Bioggio
2023-12-15,24000.0,31.0,34.0,42.0,18.0,13.0,Bioggio
2024-01-15,25000.0,31.0,35.0,43.0,23.0,17.0,Bioggio
2024-02-15,26000.0,21.0,30.0,32.0,20.0,14.0,Bioggio
2024-03-15,26000.0,6.0,21.0,16.0,15.0,10.0,Bioggio
2024-04-15,27000.0,6.0,16.0,13.0,12.0,6.0,Bioggio
2024-05-15,26000.0,3.0,12.0,8.0,9.0,5.0,Bioggio
2024-06-15,27000.0,3.0,11.0,8.0,15.0,8.0,Bioggio
2024-07-15,28000.0,2.0,12.0,8.0,17.0,10.0,Bioggio
2024-08-15,27000.0,2.0,15.0,10.0,18.0,11.0,Bioggio
2024-09-15,27000.0,4.0,14.0,11.0,10.0,5.0,Bioggio
2024-10-15,27000.0,10.0,17.0,17.0,13.0,7.0,Bioggio
2024-11-15,26000.0,26.0,30.0,37.0,22.0,15.0,Bioggio
2024-12-15,25000.0,32.0,35.0,44.0,21.0,14.0,Bioggio
