Default,Rev_gr,EBITDA_gr,Cap_gr,CR,QR,Cash_ratio,WC_cycle,DTA,DTE,LR,EBITDA_debt,IC,CTI,IC_CF,DCR,CFR,CRA,CRE,ROA,ROE,NPM,GPM,OPM,RecT,InvT,PayT,TA,FA,WC,LI,AuditSt,ExtRtg
0,1.68,0.78,1.09,5.51,0.85,0.03,97.08,0.23,0.31,1.33,0.47,5.33,-1.21,0,-0.63,-0.1,-0.16,-0.2,0.07,0.09,0.04,0.1,0.07,17.89,4.64,186.44,1.57,3.79,3.2,0,0,0
0,1.4,1.34,2.01,2.51,0.27,0.11,166.65,0.3,0.49,1.63,1.31,58.77,-0.73,0,-1,-0.12,-0.28,-0.65,0.28,0.67,0.13,0.18,0.16,28.16,2.3,71.82,2.22,76.82,4.14,0,0,0
0,0.8,0.23,1.2,0.89,0.67,0.11,35.66,0.31,0.84,2.69,0.29,13.52,1.65,27.57,0.44,0.07,0.17,0.4,0.07,0.18,0.03,0.07,0.04,5.21,37.13,8.25,2.56,7.96,-29.18,0,0,0
0,1.2,1.82,1.59,2.55,0.96,0.01,263.23,0.16,1.22,7.41,0.79,2.75,-0.77,0,-0.58,-0.18,-0.1,-0.86,0.06,0.56,0.12,0.68,0.23,2.17,3.85,0.58,0.53,2.92,1.03,0,0,0
0,1,1,1,6.56,4.7,2.72,33.15,0.01,0.08,11.86,19.5,290.5,-2.26,0,-32.51,-0.23,-0.24,-5.11,0.1,2.01,0.09,0.33,0.1,7.62,110.08,20.22,1.07,7.23,1.35,0,1,0
0,0.31,0.3,1.91,10.63,0.48,0.09,13.96,0.08,0.08,1.09,1.21,0,-2.54,0,-3.03,-0.51,-0.3,-0.33,0.1,0.1,0.16,0.24,0.2,22.24,0.61,148.71,0.6,6.08,0.57,0,1,1
0,2.46,5.27,1.15,12.69,2.6,0.39,48.66,0,0,1.09,1,0,0.08,0,0,0.02,0.02,0.03,0.11,0.14,0.1,1,0.1,7.5,0,0.01,1.16,74.42,1.36,0,1,0
0,5.64,2.46,4.48,1.2,0.54,0.21,44.43,0,0,5.9,1,0,1.77,0,0,0.1,0.26,1.44,0.12,0.66,0.05,0.1,0.06,9.55,6.76,7.64,2.61,1284.55,8.91,0,1,0
0,4.43,44.77,1.15,4.22,3.07,0.14,54.63,0.01,0.01,1.17,218,18.03,0,11.82,0.02,0,0,0,0.12,0.14,0.06,0.08,0.07,6.24,18.29,15.34,1.96,3.46,3.83,0,1,0
0,1.44,1.86,1.57,1.93,1.83,0.53,20.45,0.13,0.28,2.27,1.69,35.59,0.21,29.53,0.44,0.01,0.07,0.15,0.22,0.45,0.03,0.07,0.04,9.49,267.43,18.82,6.59,479.77,10.1,0,1,0
0,3.36,-1,0.78,1.09,1.04,1,357.05,0,0,3.44,0,0,-6.5,0,0,0.43,0.63,1.33,-0.12,-0.24,-0.08,0.97,-0.07,22.87,1.07,0.14,1.46,6.82,16.25,0,1,0
0,2.64,9.1,1.93,1.49,1.24,1.05,-12.65,0.06,0.11,2.04,6.04,39.42,1.71,77.35,10.35,0.21,0.81,1.53,0.43,0.81,0.11,0.15,0.12,38.1,20.29,9.08,3.81,16.74,10.67,0,1,0
0,1.22,0,0.98,3.91,0.08,0.06,173.73,0.09,0.11,1.2,-0.19,-1.52,8.46,6.26,-1.63,-0.09,-0.13,-0.18,-0.02,-0.02,-0.01,0.4,-0.01,364.65,1.81,12.51,1.42,4.31,3.15,0,1,0
0,1,1,1,0.95,0.19,0.18,90.76,0.27,3.05,11.18,0.21,464.47,-2.97,-1199.18,-0.63,-0.68,-0.24,-3.85,0.08,1.31,0.23,0.29,0.23,65.11,4.29,0.74,0.36,1.46,-6.75,0,1,0
0,0.98,-1,0.37,0.8,0.41,0.41,-12.08,0.32,9.62,29.68,-0.52,-3.15,-0.29,2.9,0.15,0.05,0.06,0.79,-0.07,-0.92,-0.06,0.18,-0.18,287.46,8.44,6.45,1.06,1.44,-16.98,0,1,0
0,1.06,0.84,0,0.65,0.2,0.06,29.6,0.89,-3.62,-4.07,0.63,8,-10.29,20.34,1.47,0.25,1.31,-7.24,-0.13,0.72,-0.03,0.11,0.11,24.1,8.41,12.61,5.21,29.72,-11.97,0,1,0
0,1.48,0.1,0,1.67,0.91,0.08,19.23,1.18,-5.63,-4.77,0,0.03,9.46,1.67,0.02,0.07,0.04,-0.14,0,-0.01,0.01,1,0.01,18.98,0,0,0.5,0.53,19.24,0,1,0
0,1,1,2.26,1.37,0.56,0.02,464.94,0.23,3.25,14.27,0.31,0,1.13,0,0.18,0.11,0.07,0.83,0.06,0.74,0.09,0.18,0.18,2.05,1.19,19.39,0.63,18.73,1.51,0,1,0
0,1.51,0.94,0,26.29,15.76,0.26,296.86,0.56,-2.77,-4.95,0.18,4.75,1.72,-18.07,-0.75,-0.87,-0.59,0.74,-0.35,0.44,-0.51,-0.21,0.21,1.62,2.61,5.31,0.68,4.63,0.64,0,1,0
0,1,1,1,1.18,0.58,0.09,61.51,0.28,0.67,2.42,0.14,0.61,0.91,2.23,0.13,0.04,0.04,0.09,0.02,0.04,0.02,0.28,0.04,4,2.43,2.03,0.86,1.8,10.88,0,1,0
0,0.97,1.09,1.05,8.1,5.96,1.64,106,0,0,2.27,1,0.33,2.53,2.23,0,0.05,0.05,0.13,0.02,0.05,0.02,0.65,0.02,5.96,4.32,9.17,1.03,1.53,3.62,0,1,0
0,2.39,1.17,1.55,0.73,0.07,0,269.86,0.05,0.83,15.56,0.61,0,7.62,0,4.64,0.58,0.31,4.66,0.03,0.43,0.05,0.28,0.08,13.61,1,3.03,0.54,1.34,-1.76,0,1,0
0,4.64,0,0,0.48,0,0,-276.05,0.64,-4.22,-6.59,-0.08,-0.6,-2,2.3,0.16,2.02,0.11,-0.84,-0.05,0.42,-1.01,0.94,-1.01,1689.97,0.32,1.32,0.05,0.06,-0.47,0,1,0
0,1.15,1.56,0.08,1.16,0.1,0.1,59.64,0.12,0.34,2.94,4.6,6.49,1.33,11.07,6.11,0.25,0.7,0.31,0.33,0.14,0.12,0.47,0.19,0,2.91,5.54,2.8,7.82,30.62,0,1,0
0,0.39,0.23,0.86,3.47,1.86,0,261.56,0.43,1.57,3.7,0.09,0.91,0.23,1.09,-0.02,-0.05,-0.01,-0.03,-0.04,-0.12,-0.23,0.24,0.24,1.09,0.97,5.01,0.18,0.27,0.69,0,1,0
