date,O3 mensili Chiasso 2020-24,station_id
2020-01-15,,Chiasso
2020-02-15,,Chiasso
2020-03-15,6.0,Chiasso
2020-04-15,97.0,Chiasso
2020-05-15,106.0,Chiasso
2020-06-15,95.0,Chiasso
2020-07-15,201.0,Chiasso
2020-08-15,144.0,Chiasso
2020-09-15,82.0,Chiasso
2020-10-15,,Chiasso
2020-11-15,,Chiasso
2020-12-15,,Chiasso
2021-01-15,,Chiasso
2021-02-15,,Chiasso
2021-03-15,15.0,Chiasso
2021-04-15,36.0,Chiasso
2021-05-15,39.0,Chiasso
2021-06-15,167.0,Chiasso
2021-07-15,118.0,Chiasso
2021-08-15,92.0,Chiasso
2021-09-15,90.0,Chiasso
2021-10-15,,Chiasso
2021-11-15,,Chiasso
2021-12-15,,Chiasso
2022-01-15,,Chiasso
2022-02-15,,Chiasso
2022-03-15,46.0,Chiasso
2022-04-15,68.0,Chiasso
2022-05-15,127.0,Chiasso
2022-06-15,180.0,Chiasso
2022-07-15,295.0,Chiasso
2022-08-15,228.0,Chiasso
2022-09-15,47.0,Chiasso
2022-10-15,1.0,Chiasso
2022-11-15,,Chiasso
2022-12-15,,Chiasso
2023-01-15,,Chiasso
2023-02-15,,Chiasso
2023-03-15,2.0,Chiasso
2023-04-15,13.0,Chiasso
2023-05-15,58.0,Chiasso
2023-06-15,181.0,Chiasso
2023-07-15,110.0,Chiasso
2023-08-15,116.0,Chiasso
2023-09-15,64.0,Chiasso
2023-10-15,11.0,Chiasso
2023-11-15,,Chiasso
2023-12-15,,Chiasso
2024-01-15,,Chiasso
2024-02-15,,Chiasso
2024-03-15,,Chiasso
2024-04-15,24.0,Chiasso
2024-05-15,33.0,Chiasso
2024-06-15,71.0,Chiasso
2024-07-15,165.0,Chiasso
2024-08-15,163.0,Chiasso
2024-09-15,12.0,Chiasso
2024-10-15,,Chiasso
2024-11-15,,Chiasso
2024-12-15,,Chiasso
