date,O3 Minusio mensili 2020-24,station_id
2020-01-15,,Minusio
2020-02-15,,Minusio
2020-03-15,10.0,Minusio
2020-04-15,104.0,Minusio
2020-05-15,72.0,Minusio
2020-06-15,57.0,Minusio
2020-07-15,121.0,Minusio
2020-08-15,121.0,Minusio
2020-09-15,61.0,Minusio
2020-10-15,,Minusio
2020-11-15,,Minusio
2020-12-15,,Minusio
2021-01-15,,Minusio
2021-02-15,,Minusio
2021-03-15,34.0,Minusio
2021-04-15,73.0,Minusio
2021-05-15,39.0,Minusio
2021-06-15,139.0,Minusio
2021-07-15,69.0,Minusio
2021-08-15,40.0,Minusio
2021-09-15,62.0,Minusio
2021-10-15,,Minusio
2021-11-15,,Minusio
2021-12-15,,Minusio
2022-01-15,,Minusio
2022-02-15,,Minusio
2022-03-15,60.0,Minusio
2022-04-15,89.0,Minusio
2022-05-15,107.0,Minusio
2022-06-15,115.0,Minusio
2022-07-15,195.0,Minusio
2022-08-15,181.0,Minusio
2022-09-15,12.0,Minusio
2022-10-15,,Minusio
2022-11-15,,Minusio
2022-12-15,,Minusio
2023-01-15,,Minusio
2023-02-15,,Minusio
2023-03-15,34.0,Minusio
2023-04-15,24.0,Minusio
2023-05-15,50.0,Minusio
2023-06-15,134.0,Minusio
2023-07-15,68.0,Minusio
2023-08-15,124.0,Minusio
2023-09-15,53.0,Minusio
2023-10-15,11.0,Minusio
2023-11-15,,Minusio
2023-12-15,,Minusio
2024-01-15,,Minusio
2024-02-15,,Minusio
2024-03-15,2.0,Minusio
2024-04-15,33.0,Minusio
2024-05-15,23.0,Minusio
2024-06-15,40.0,Minusio
2024-07-15,166.0,Minusio
2024-08-15,155.0,Minusio
2024-09-15,4.0,Minusio
2024-10-15,,Minusio
2024-11-15,,Minusio
2024-12-15,,Minusio
