date,O3 Pregassona mensili 2020-24,station_id
2020-01-15,,Pregassona
2020-02-15,,Pregassona
2020-03-15,7.0,Pregassona
2020-04-15,94.0,Pregassona
2020-05-15,70.0,Pregassona
2020-06-15,63.0,Pregassona
2020-07-15,164.0,Pregassona
2020-08-15,133.0,Pregassona
2020-09-15,63.0,Pregassona
2020-10-15,,Pregassona
2020-11-15,,Pregassona
2020-12-15,,Pregassona
2021-01-15,,Pregassona
2021-02-15,,Pregassona
2021-03-15,16.0,Pregassona
2021-04-15,36.0,Pregassona
2021-05-15,40.0,Pregassona
2021-06-15,178.0,Pregassona
2021-07-15,106.0,Pregassona
2021-08-15,68.0,Pregassona
2021-09-15,69.0,Pregassona
2021-10-15,,Pregassona
2021-11-15,,Pregassona
2021-12-15,,Pregassona
2022-01-15,,Pregassona
2022-02-15,,Pregassona
2022-03-15,34.0,Pregassona
2022-04-15,51.0,Pregassona
2022-05-15,116.0,Pregassona
2022-06-15,121.0,Pregassona
2022-07-15,238.0,Pregassona
2022-08-15,185.0,Pregassona
2022-09-15,22.0,Pregassona
2022-10-15,,Pregassona
2022-11-15,,Pregassona
2022-12-15,,Pregassona
2023-01-15,,Pregassona
2023-02-15,,Pregassona
2023-03-15,4.0,Pregassona
2023-04-15,18.0,Pregassona
2023-05-15,50.0,Pregassona
2023-06-15,149.0,Pregassona
2023-07-15,110.0,Pregassona
2023-08-15,114.0,Pregassona
2023-09-15,61.0,Pregassona
2023-10-15,9.0,Pregassona
2023-11-15,,Pregassona
2023-12-15,,Pregassona
2024-01-15,,Pregassona
2024-02-15,,Pregassona
2024-03-15,,Pregassona
2024-04-15,26.0,Pregassona
2024-05-15,27.0,Pregassona
2024-06-15,36.0,Pregassona
2024-07-15,111.0,Pregassona
2024-08-15,120.0,Pregassona
2024-09-15,5.0,Pregassona
2024-10-15,,Pregassona
2024-11-15,,Pregassona
2024-12-15,,Pregassona
