date,O3 Airolo mensili 2020-24,station_id
2020-01-15,,Airolo
2020-02-15,,Airolo
2020-03-15,,Airolo
2020-04-15,28.0,Airolo
2020-05-15,13.0,Airolo
2020-06-15,16.0,Airolo
2020-07-15,17.0,Airolo
2020-08-15,10.0,Airolo
2020-09-15,,Airolo
2020-10-15,,Airolo
2020-11-15,,Airolo
2020-12-15,,Airolo
2021-01-15,,Airolo
2021-02-15,,Airolo
2021-03-15,3.0,Airolo
2021-04-15,41.0,Airolo
2021-05-15,2.0,Airolo
2021-06-15,49.0,Airolo
2021-07-15,11.0,Airolo
2021-08-15,2.0,Airolo
2021-09-15,4.0,Airolo
2021-10-15,,Airolo
2021-11-15,,Airolo
2021-12-15,,Airolo
2022-01-15,,Airolo
2022-02-15,,Airolo
2022-03-15,36.0,Airolo
2022-04-15,28.0,Airolo
2022-05-15,31.0,Airolo
2022-06-15,45.0,Airolo
2022-07-15,91.0,Airolo
2022-08-15,49.0,Airolo
2022-09-15,,Airolo
2022-10-15,,Airolo
2022-11-15,,Airolo
2022-12-15,,Airolo
2023-01-15,,Airolo
2023-02-15,,Airolo
2023-03-15,,Airolo
2023-04-15,,Airolo
2023-05-15,3.0,Airolo
2023-06-15,92.0,Airolo
2023-07-15,8.0,Airolo
2023-08-15,4.0,Airolo
2023-09-15,,Airolo
2023-10-15,,Airolo
2023-11-15,,Airolo
2023-12-15,,Airolo
2024-01-15,,Airolo
2024-02-15,,Airolo
2024-03-15,,Airolo
2024-04-15,1.0,Airolo
2024-05-15,,Airolo
2024-06-15,,Airolo
2024-07-15,12.0,Airolo
2024-08-15,32.0,Airolo
2024-09-15,7.0,Airolo
2024-10-15,,Airolo
2024-11-15,,Airolo
2024-12-15,,Airolo
