date,precipitazioni,temperatura,vento
2020-02,4.1,8.3,1.6
2020-03,74.8,9.0,1.5
2020-04,78.0,14.3,1.4
2020-05,174.6,17.7,1.6
2020-06,263.9,19.5,1.6
2020-07,35.6,23.2,1.7
2020-08,331.9,23.1,1.7
2020-09,87.0,18.8,1.2
2020-10,370.9,12.0,1.2
2020-11,2.1,9.4,0.8
2020-12,172.7,4.1,1.0
2021-01,114.6,2.8,1.2
2021-02,74.1,7.0,1.1
2021-03,15.1,9.6,1.8
2021-04,92.6,11.3,1.8
2021-05,184.3,14.8,1.8
2021-06,72.6,21.7,1.6
2021-07,420.9,21.4,1.6
2021-08,178.5,21.3,1.5
2021-09,161.4,18.9,1.2
2021-10,134.0,12.2,1.0
2021-11,147.5,7.9,0.9
2021-12,16.0,5.4,1.0
2022-01,8.2,6.0,1.5
2022-02,15.5,7.6,1.7
2022-03,9.6,8.8,1.2
2022-04,102.8,12.6,1.7
2022-05,91.3,18.5,1.6
2022-06,236.8,22.1,1.6
2022-07,126.1,24.9,1.7
2022-08,121.4,23.8,1.6
2022-09,212.8,17.7,1.4
2022-10,213.7,15.9,0.8
2022-11,57.1,9.5,1.0
2022-12,87.7,4.9,0.9
2023-01,15.6,5.2,1.2
2023-02,0.7,7.5,1.3
2023-03,77.3,10.5,1.6
2023-04,139.5,12.6,1.8
2023-05,244.1,16.3,1.4
2023-06,175.9,21.3,1.6
2023-07,105.8,23.2,1.6
2023-08,331.4,23.0,1.9
2023-09,299.3,19.6,1.2
2023-10,269.2,15.7,1.0
2023-11,65.5,8.2,1.3
2023-12,83.8,7.2,1.3
2024-01,49.1,5.6,1.2
2024-02,178.0,8.9,1.0
2024-03,348.4,9.8,1.4
2024-04,120.5,12.9,1.8
2024-05,311.3,15.1,1.2
2024-06,187.1,19.7,1.4
2024-07,76.6,24.1,
2024-08,60.0,24.9,1.4
2024-09,206.0,17.7,1.6
2024-10,281.6,13.9,0.8
2024-11,22.6,8.1,0.8
2024-12,7.7,5.8,1.1
