date,precipitazioni,temperatura,vento
2020-02,1.8,5.8,1.6
2020-03,121.0,7.2,1.5
2020-04,72.8,11.8,1.5
2020-05,194.8,16.5,1.6
2020-06,236.0,19.0,1.6
2020-07,33.6,22.0,1.7
2020-08,160.4,22.0,1.6
2020-09,106.2,17.3,1.3
2020-10,259.2,10.7,1.2
2020-11,4.6,7.1,1.1
2020-12,168.6,3.2,1.1
2021-01,137.8,1.5,1.1
2021-02,80.8,5.7,1.2
2021-03,8.0,7.0,1.7
2021-04,79.0,9.6,2.0
2021-05,146.4,14.4,1.8
2021-06,21.0,21.1,1.6
2021-07,396.2,21.5,1.6
2021-08,116.2,20.6,1.5
2021-09,199.4,17.7,1.2
2021-10,129.8,10.9,1.1
2021-11,180.4,6.9,1.0
2021-12,23.8,2.4,1.0
2022-01,9.6,2.6,1.5
2022-02,18.6,5.2,1.7
2022-03,7.2,6.4,1.3
2022-04,65.4,10.8,1.7
2022-05,106.2,17.9,1.5
2022-06,74.2,21.8,1.5
2022-07,25.2,25.0,1.6
2022-08,49.0,23.3,1.5
2022-09,132.6,17.0,1.4
2022-10,135.6,14.4,0.9
2022-11,93.8,7.6,1.1
2022-12,90.8,3.6,1.0
2023-01,33.6,3.6,1.3
2023-02,2.2,4.7,1.3
2023-03,43.8,8.8,1.5
2023-04,120.6,10.9,1.8
2023-05,184.4,15.8,1.4
2023-06,123.0,20.9,1.5
2023-07,175.4,22.5,1.4
2023-08,160.4,22.4,1.7
2023-09,139.6,18.7,1.3
2023-10,206.0,14.9,1.1
2023-11,104.4,6.6,1.4
2023-12,93.6,4.8,1.2
2024-01,47.8,2.6,1.2
2024-02,233.6,6.9,1.0
2024-03,274.8,9.2,1.3
2024-04,74.8,11.8,1.9
2024-05,379.6,14.9,1.3
2024-06,116.6,19.4,1.4
2024-07,336.0,23.3,1.3
2024-08,49.2,23.9,1.4
2024-09,310.0,17.2,1.6
2024-10,290.2,13.8,0.9
2024-11,12.4,6.2,1.0
2024-12,15.4,2.8,1.3
