date,precipitazioni,temperatura,vento
2020-02,42.7,2.2,1.5
2020-03,35.5,3.4,1.5
2020-04,42.1,9.0,1.4
2020-05,116.7,12.3,1.6
2020-06,161.9,14.4,1.5
2020-07,61.1,18.0,1.5
2020-08,248.6,17.5,1.4
2020-09,64.5,13.7,1.3
2020-10,440.1,6.9,
2020-11,7.9,3.5,
2020-12,79.6,-0.9,0.9
2021-01,313.4,-2.5,1.1
2021-02,47.4,1.1,0.9
2021-03,31.9,2.9,1.5
2021-04,51.9,4.8,1.7
2021-05,221.8,8.6,1.7
2021-06,209.3,16.1,1.4
2021-07,422.6,16.0,1.3
2021-08,61.2,15.9,1.2
2021-09,84.0,14.0,1.0
2021-10,165.6,7.5,1.1
2021-11,87.2,3.1,1.1
2021-12,46.3,0.7,1.2
2022-01,10.6,1.6,1.7
2022-02,36.8,1.6,1.6
2022-03,15.3,3.3,1.2
2022-04,74.7,6.9,1.8
2022-05,86.2,13.7,1.4
2022-06,122.2,16.9,1.5
2022-07,72.5,19.5,1.8
2022-08,50.2,18.6,1.5
2022-09,87.4,12.2,1.5
2022-10,197.5,11.4,1.0
2022-11,44.1,4.0,1.1
2022-12,96.3,-0.8,0.8
2023-01,20.5,-0.3,1.2
2023-02,0.0,2.9,1.6
2023-03,100.0,4.2,1.4
2023-04,81.8,6.1,1.8
2023-05,80.6,11.7,1.5
2023-06,95.5,16.4,1.6
2023-07,85.0,18.0,1.5
2023-08,173.0,17.5,1.7
2023-09,146.9,14.9,1.2
2023-10,347.7,10.5,1.1
2023-11,121.9,2.5,1.3
2023-12,119.5,1.4,1.2
2024-01,46.4,0.5,1.1
2024-02,137.2,3.9,1.2
2024-03,328.2,3.9,1.5
2024-04,135.9,6.5,1.8
2024-05,136.5,10.3,1.5
2024-06,251.6,14.8,1.5
2024-07,72.7,18.7,1.5
2024-08,40.5,19.4,1.4
2024-09,175.0,11.5,1.5
2024-10,280.2,9.4,1.0
2024-11,61.4,3.2,0.9
2024-12,41.9,0.3,1.2
