date,precipitazioni,temperatura,vento
2020-02,3.1,8.5,1.6
2020-03,66.0,10.1,1.5
2020-04,18.3,15.4,1.4
2020-05,127.1,19.5,1.6
2020-06,234.3,21.4,1.6
2020-07,38.2,25.2,1.7
2020-08,253.2,24.6,1.7
2020-09,97.6,20.3,1.2
2020-10,264.6,13.1,1.2
2020-11,1.9,9.2,0.8
2020-12,169.1,4.8,1.0
2021-01,86.5,3.6,1.2
2021-02,58.7,8.2,1.1
2021-03,6.5,11.0,1.8
2021-04,63.2,13.3,1.8
2021-05,142.4,17.0,1.8
2021-06,61.2,23.6,1.6
2021-07,323.2,22.9,1.6
2021-08,243.0,22.7,1.5
2021-09,156.3,20.1,1.2
2021-10,91.1,12.8,1.0
2021-11,132.8,8.1,0.9
2021-12,19.6,4.0,1.0
2022-01,10.5,4.6,1.5
2022-02,19.7,7.3,1.7
2022-03,4.0,9.0,1.2
2022-04,,13.5,1.7
2022-05,,19.8,1.6
2022-06,,23.3,1.6
2022-07,,26.2,1.7
2022-08,,24.9,1.6
2022-09,,18.6,1.4
2022-10,,15.9,0.8
2022-11,,9.3,1.0
2022-12,,4.4,0.9
2023-01,,5.1,1.2
2023-02,,7.2,1.3
2023-03,,11.2,1.6
2023-04,,13.6,1.8
2023-05,,17.7,1.4
2023-06,,22.8,1.6
2023-07,,24.7,1.6
2023-08,,24.2,1.9
2023-09,,20.4,1.2
2023-10,,16.2,1.0
2023-11,,8.4,1.3
2023-12,,6.9,1.3
2024-01,,5.0,1.2
2024-02,,8.6,1.0
2024-03,,10.7,1.4
2024-04,,13.7,1.8
2024-05,,16.3,1.2
2024-06,,20.8,1.4
2024-07,,25.2,
2024-08,,25.6,1.4
2024-09,,18.3,1.6
2024-10,,14.3,0.8
2024-11,,6.9,0.8
2024-12,,4.2,1.1
