# SoFiA source catalogue
# Creator: SoFiA 2.5.3 (16-Oct-2024)
# Time:    Fri, 13 Dec 2024, 12:24:26
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum           snr       snr_max            ra           dec          freq        x_peak        y_peak        z_peak       ra_peak      dec_peak     freq_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam             -             -           deg           deg            Hz           pix           pix           pix           deg           deg            Hz

  "SoFiA J120143.36-302105.4"             1     64.204465     89.162059      9.400047            59            71            82            99             0            20          1539  -1.20496e-06   8.72338e-05      0.030763      0.000000             3   3.76428e-06     20.000000     20.000000     20.000000      9.009648      2.585875    -28.932201     10.972162      3.219975    -28.410172    157.555607      0.013476      0.023024      0.027349   1.47673e-04     78.281780     88.290563    180.430646    -30.351511   1.04400e+09            63            87             0    180.431739    -30.353189   9.50000e+08
  "SoFiA J120145.44-302300.7"             2     54.739437     47.946859      9.459082             0            99             0            99             0            20         56248  -4.08511e-06   2.56082e-04      0.881932      0.000000             3   2.91606e-06     20.000000     20.000000     20.000000     57.608983     37.358935     14.539342     52.939173     43.721847     16.970685     17.808440      0.017118      0.020222      0.004493   6.91592e-04    479.195536    585.506784    180.439321    -30.383540   1.04459e+09            40            99             0    180.452427    -30.343787   9.50000e+08
  "SoFiA J120155.51-302050.6"             3      7.981320     94.248249      8.684231             5            11            90            99             0            20           655   1.02089e-07   2.25685e-05      0.006745      0.000000             3   5.24846e-06     20.000000     17.666543     20.000000      5.857792      2.244919    -11.563717      5.850284      2.567686    -13.983519    353.433521      0.026785      0.054192      0.111993   1.34324e-04     18.869055     19.185166    180.481302    -30.347381   1.03684e+09             8            92             2    180.481293    -30.349130   9.70000e+08
  "SoFiA J120136.92-302120.3"             4     93.977276     83.954768      9.026727            87            99            73            92             0            20          1978  -7.05095e-07   2.81097e-05      0.022595      0.000000             3   4.06585e-06     20.000000     20.000000     20.000000     11.671814      5.507616    -24.127100     11.020860      6.311109    -19.417669    175.457483      0.026621      0.041144      0.045636   1.80828e-04     46.954422     47.729991    180.403828    -30.355646   1.04027e+09            91            75             1    180.406540    -30.362602   9.60000e+08
  "SoFiA J120155.13-302127.9"             5      9.785296     80.937358      9.202565             4            17            77            85             0            20          1354  -3.90567e-08   4.14904e-05      0.015638      0.000000             2   4.64732e-06     20.000000     20.000000     20.000000      6.495351      2.778545     85.800732      7.396059      3.206942     84.094181     90.355717      0.038305      0.018515      0.061280   1.71006e-04     34.364018     36.237757    180.479727    -30.357740   1.04203e+09             8            81             7    180.481335    -30.357686   1.02000e+09
  "SoFiA J120140.41-302129.6"             6     77.835547     80.577438      8.745308            76            80            76            88             0            20           552   1.27114e-06   2.02739e-05      0.005142      0.000000             2   6.49085e-06     19.777464     15.616906     18.036853      7.768075      2.052401      3.461606      8.233294      2.376368      3.762510          -nan      0.032915      0.115461      0.151937   1.52500e-04     12.670145     12.768256    180.418388    -30.358227   1.03745e+09            78            78             7    180.418249    -30.360233   1.02000e+09
  "SoFiA J120156.02-302248.6"             7      5.807672     52.092816      9.498623             0            26            36            72             0            20          5627  -1.61297e-06   1.37652e-04      0.098824      0.000000             3   2.91609e-06     20.000000     20.000000     20.000000     22.497498      8.655702     -9.284003     23.311509     11.840163    -16.114911    157.736535      0.013333      0.024844      0.012689   2.18746e-04    169.765325    187.993196    180.483423    -30.380162   1.04499e+09             4            42             7    180.485092    -30.388006   1.02000e+09
  "SoFiA J120151.91-302254.5"             8     24.826430     50.065562      9.450249            22            27            48            52             0            20           320   3.41878e-06   2.41315e-05      0.003963      0.000000             2   7.80003e-06     20.000000     20.000000     20.000000      2.240928      1.925957    -88.220294      2.497893      2.203349    -84.871668    333.434949      0.044736      0.038191      0.200750   1.39531e-04     10.673895     10.741564    180.466283    -30.381800   1.04450e+09            25            50             9    180.466127    -30.381852   1.04000e+09
  "SoFiA J120155.56-302506.1"             9      8.148028      2.982717      9.493208             0            18             0            10             0            20          2165  -2.92162e-06   1.48974e-04      0.047508      0.000000             3   3.88891e-06     20.000000     20.000000     20.000000      5.534275      4.523638     89.484188      9.046628      6.189684     87.711475    168.054701      0.016064      0.011448      0.021420   1.80949e-04     98.658756    144.679622    180.481501    -30.418367   1.04493e+09             8             2             3    180.481638    -30.419131   9.80000e+08
  "SoFiA J120137.20-302511.6"            10     92.951791      1.354129      9.421322            85            99             0             8             0            20          1257  -1.07346e-06   1.20202e-04      0.021658      0.000000             3   4.10440e-06     20.000000     20.000000     20.000000      8.783857      3.465512     77.228474      8.772145      4.834408     62.825492    256.771313      0.026649      0.017605      0.038422   1.45518e-04     55.927214     72.264857    180.405018    -30.419889   1.04421e+09            97             0             7    180.401371    -30.420953   1.02000e+09
