# SoFiA source catalogue
# Creator: SoFiA 2.5.3 (16-Oct-2024)
# Time:    Fri, 13 Dec 2024, 12:14:26
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum           snr       snr_max            ra           dec          freq        x_peak        y_peak        z_peak       ra_peak      dec_peak     freq_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam             -             -           deg           deg            Hz           pix           pix           pix           deg           deg            Hz

  "SoFiA J120424.60-305057.3"             1     64.204465     89.162059      9.400047            59            71            82            99             0            20          1539  -1.20496e-06   8.72338e-05      0.030763      0.000000             3   3.76428e-06     20.000000     20.000000     20.000000      9.009648      2.585875    -28.932201     10.972162      3.219975    -28.410172    157.555607      0.013476      0.023024      0.027349   1.47673e-04     78.281780     88.290563    181.102521    -30.849247   1.04400e+09            63            87             0    181.103621    -30.850925   9.50000e+08
  "SoFiA J120426.71-305252.6"             2     54.739437     47.946859      9.459082             0            99             0            99             0            20         56248  -4.08511e-06   2.56082e-04      0.881932      0.000000             3   2.91606e-06     20.000000     20.000000     20.000000     57.608983     37.358935     14.539342     52.939173     43.721847     16.970685     17.808440      0.017118      0.020222      0.004493   6.91592e-04    479.195536    585.506784    181.111274    -30.881270   1.04459e+09            40            99             0    181.124406    -30.841507   9.50000e+08
  "SoFiA J120436.82-305042.3"             3      7.981320     94.248249      8.684231             5            11            90            99             0            20           655   1.02089e-07   2.25685e-05      0.006745      0.000000             3   5.24846e-06     20.000000     17.666543     20.000000      5.857792      2.244919    -11.563717      5.850284      2.567686    -13.983519    353.433521      0.026785      0.054192      0.111993   1.34324e-04     18.869055     19.185166    181.153434    -30.845079   1.03684e+09             8            92             2    181.153427    -30.846828   9.70000e+08
  "SoFiA J120418.14-305112.2"             4     93.977276     83.954768      9.026727            87            99            73            92             0            20          1978  -7.05095e-07   2.81097e-05      0.022595      0.000000             3   4.06585e-06     20.000000     20.000000     20.000000     11.671814      5.507616    -24.127100     11.020860      6.311109    -19.417669    175.457483      0.026621      0.041144      0.045636   1.80828e-04     46.954422     47.729991    181.075568    -30.853402   1.04027e+09            91            75             1    181.078302    -30.860357   9.60000e+08
  "SoFiA J120436.45-305119.6"             5      9.785296     80.937358      9.202565             4            17            77            85             0            20          1354  -3.90567e-08   4.14904e-05      0.015638      0.000000             2   4.64732e-06     20.000000     20.000000     20.000000      6.495351      2.778545     85.800732      7.396059      3.206942     84.094181     90.355717      0.038305      0.018515      0.061280   1.71006e-04     34.364018     36.237757    181.151861    -30.855439   1.04203e+09             8            81             7    181.153478    -30.855384   1.02000e+09
  "SoFiA J120421.65-305121.5"             6     77.835547     80.577438      8.745308            76            80            76            88             0            20           552   1.27114e-06   2.02739e-05      0.005142      0.000000             2   6.49085e-06     19.777464     15.616906     18.036853      7.768075      2.052401      3.461606      8.233294      2.376368      3.762510          -nan      0.032915      0.115461      0.151937   1.52500e-04     12.670145     12.768256    181.090207    -30.855973   1.03745e+09            78            78             7    181.090069    -30.857978   1.02000e+09
  "SoFiA J120437.34-305240.3"             7      5.807672     52.092816      9.498623             0            26            36            72             0            20          5627  -1.61297e-06   1.37652e-04      0.098824      0.000000             3   2.91609e-06     20.000000     20.000000     20.000000     22.497498      8.655702     -9.284003     23.311509     11.840163    -16.114911    157.736535      0.013333      0.024844      0.012689   2.18746e-04    169.765325    187.993196    181.155600    -30.877859   1.04499e+09             4            42             7    181.157286    -30.885702   1.02000e+09
  "SoFiA J120433.21-305246.2"             8     24.826430     50.065562      9.450249            22            27            48            52             0            20           320   3.41878e-06   2.41315e-05      0.003963      0.000000             2   7.80003e-06     20.000000     20.000000     20.000000      2.240928      1.925957    -88.220294      2.497893      2.203349    -84.871668    333.434949      0.044736      0.038191      0.200750   1.39531e-04     10.673895     10.741564    181.138374    -30.879510   1.04450e+09            25            50             9    181.138217    -30.879561   1.04000e+09
  "SoFiA J120436.89-305457.8"             9      8.148028      2.982717      9.493208             0            18             0            10             0            20          2165  -2.92162e-06   1.48974e-04      0.047508      0.000000             3   3.88891e-06     20.000000     20.000000     20.000000      5.534275      4.523638     89.484188      9.046628      6.189684     87.711475    168.054701      0.016064      0.011448      0.021420   1.80949e-04     98.658756    144.679622    181.153708    -30.916066   1.04493e+09             8             2             3    181.153847    -30.916829   9.80000e+08
  "SoFiA J120418.44-305503.5"            10     92.951791      1.354129      9.421322            85            99             0             8             0            20          1257  -1.07346e-06   1.20202e-04      0.021658      0.000000             3   4.10440e-06     20.000000     20.000000     20.000000      8.783857      3.465512     77.228474      8.772145      4.834408     62.825492    256.771313      0.026649      0.017605      0.038422   1.45518e-04     55.927214     72.264857    181.076831    -30.917645   1.04421e+09            97             0             7    181.073167    -30.918712   1.02000e+09
