key,value
make_project.title,"1. 프로젝트 생성하기"
make_project.instruction,"새 프로젝트를 생성하려면 아래 명령어를 입력하세요. (hatch 명령어가 install 되어 있어야 합니다. brew 를 사용하고 있다면 brew install hatch 를 통해 설치 하세요.)"
make_project.command,"➤ hatch new mcp-weather"
make_project.prompt,"명령어를 입력하세요:"
make_project.invalid_command,"잘못된 명령어입니다. 다시 시도해주세요."
